id;date;details;status;payment_method;payment_date;payment_amount;code
1;2020-01-06T18:44:52;RAM Focused;PAID;CASH_ON_DELIVERY;2020-01-07T03:06:59;64379;Australia 1080p Intranet
2;2020-01-06T15:59:08;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-01-06T19:54:49;8068;Baby
3;2020-01-07T01:40:56;monitor;CANCELLED;CREDIT_CARD;2020-01-06T17:32:18;97394;Rubber synergy program
4;2020-01-06T14:14:58;EXE parse strategic;CANCELLED;PAYPAL;2020-01-06T18:20:08;2286;HTTP
5;2020-01-06T10:30:09;black Awesome;PAID;CASH_ON_DELIVERY;2020-01-06T10:32:03;49531;Agent SDD auxiliary
6;2020-01-06T21:02:43;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-01-06T12:54:53;80897;Ergonomic Concrete Salad Alaska Colorado
7;2020-01-06T23:36:19;back up Toys;ISSUED;PAYPAL;2020-01-07T02:31:58;10756;Arizona Awesome Fresh Soap system
8;2020-01-06T20:08:29;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-01-06T19:57:32;50263;deploy
9;2020-01-06T13:58:27;Credit Card Account;CANCELLED;CREDIT_CARD;2020-01-07T00:21:36;308;payment Fantastic Fresh Soap
10;2020-01-07T00:22:50;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-01-07T04:08:39;94911;Granite Rubber Pizza
