id;placed_date;status;code
1;2020-01-07T02:08:50;COMPLETED;Georgia calculate withdrawal
2;2020-01-06T13:05:20;COMPLETED;compress Steel out-of-the-box
3;2020-01-06T14:36:32;PENDING;Concrete
4;2020-01-07T04:02:27;CANCELLED;Investment Account
5;2020-01-06T15:19:17;PENDING;United States of America
6;2020-01-07T05:31:21;CANCELLED;IB Industrial Credit Card Account
7;2020-01-07T08:37:46;CANCELLED;Cotton Egyptian Pound
8;2020-01-06T17:33:50;COMPLETED;Home Loan Account
9;2020-01-07T02:28:06;COMPLETED;Human
10;2020-01-06T12:36:44;CANCELLED;payment
